scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 2, 0, 8, 0, 8, 12, 0, 15, 0, 15,7, 6
1, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6,6, 6
8, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 3, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 2, 0, 58, 0, 58, 3, 0, 59, 0, 59, 3, 0, 59, 0, 59, 2, 0, 59, 0, 59, 2, 0, 59, 0, 59,58, 58
16, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 44, 0, 44, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45, 4, 0, 45, 0, 45,44, 44
32, 8, 0, 57, 0, 57, 8, 0, 57, 0, 57, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58, 8, 0, 58, 0, 58,58, 58
64, 15, 0, 12, 0, 12, 13, 0, 72, 0, 72, 13, 0, 72, 0, 72, 13, 0, 72, 0, 72, 13, 0, 72, 0, 72, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73, 13, 0, 73, 0, 73,73, 73
128, 31, 0, 102, 0, 102, 30, 0, 194, 0, 194, 30, 0, 194, 0, 194, 30, 0, 194, 0, 194, 30, 0, 194, 0, 194, 30, 0, 195, 0, 195, 30, 0, 196, 0, 196, 30, 0, 196, 0, 196, 30, 0, 196, 0, 196, 30, 0, 196, 0, 196, 30, 0, 196, 0, 196, 30, 0, 197, 0, 197,195, 196
256, 54, 0, 162, 0, 162, 52, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358, 55, 0, 358, 0, 358,358, 358
512, 114, 0, 425, 0, 425, 111, 0, 754, 0, 754, 111, 0, 754, 0, 754, 111, 0, 759, 0, 759, 107, 0, 759, 0, 759, 111, 0, 760, 0, 760, 111, 0, 760, 0, 760, 111, 0, 760, 0, 760, 111, 0, 762, 0, 762, 111, 0, 762, 0, 762, 111, 0, 762, 0, 762, 111, 0, 763, 0, 763,759, 760
1024, 215, 0, 276, 0, 276, 215, 0, 279, 0, 279, 215, 0, 281, 0, 281, 215, 0, 572, 0, 572, 218, 0, 840, 0, 840, 215, 0, 1246, 0, 1246, 215, 0, 1250, 0, 1250, 215, 0, 1253, 0, 1253, 215, 0, 1257, 0, 1257, 215, 0, 1257, 0, 1257, 215, 0, 1259, 0, 1259, 217, 0, 1260, 0, 1260,949, 1250
2048, 451, 0, 31, 0, 31, 451, 0, 34, 0, 34, 451, 0, 34, 0, 34, 451, 0, 37, 0, 37, 453, 0, 37, 0, 37, 451, 0, 37, 0, 37, 451, 0, 38, 0, 38, 451, 0, 39, 0, 39, 451, 0, 41, 0, 41, 451, 0, 41, 0, 41, 451, 0, 43, 0, 43, 452, 0, 1601, 0, 1601,38, 38
4096, 917, 0, -226, 0, -226, 917, 0, -225, 0, -225, 917, 0, -224, 0, -224, 917, 0, -224, 0, -224, 917, 0, -224, 0, -224, 917, 0, -224, 0, -224, 917, 0, -222, 0, -222, 917, 0, -221, 0, -221, 917, 0, -220, 0, -220, 917, 0, -220, 0, -220, 917, 0, -211, 0, -211, 917, 0, 2739, 0, 2739,-222, -222
8192, 1627, 0, -725, 0, -725, 1627, 0, -724, 0, -724, 1627, 0, -724, 0, -724, 1627, 0, -723, 0, -723, 1629, 0, -723, 0, -723, 1627, 0, -723, 0, -723, 1627, 0, -723, 0, -723, 1627, 0, -723, 0, -723, 1627, 0, -722, 0, -722, 1627, 0, -722, 0, -722, 1627, 0, -721, 0, -721, 1627, 0, 5316, 0, 5316,-723, -723
