scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,1,32,0,0,32,0,32,0,0,33,0,33,52,23,42,3,65,32,32
1,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,0,0,32,0,32,32,32
8,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,53,3,53,1,0,54,3,54,1,0,54,3,54,53,53
16,1,0,22,6,22,1,0,22,6,22,1,0,22,6,22,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,1,0,23,6,23,23,23
32,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,1,0,12,12,12,12,12
64,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,23,5,4,0,5,24,5,4,0,5,23,5,4,0,5,23,5,5,5
128,6,0,44,49,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,6,0,44,48,44,44,44
256,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,13,0,59,0,59,14,0,61,0,61,59,59
