scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1, 93, 0, 96, 0, 96, 108, 0, 98, 0, 98, 103, 0, 99, 0, 99, 94, 0, 99, 0, 99, 99, 0, 100, 0, 100, 91, 0, 100, 0, 100, 91, 0, 102, 0, 102, 98, 0, 104, 0, 104, 99, 0, 109, 0, 109, 91, 0, 123, 0, 123, 119, 0, 146, 0, 146, 756, 0, 244, 0, 244,108, 102
1, 97, 0, 88, 0, 88, 85, 0, 92, 0, 92, 89, 0, 92, 0, 92, 83, 0, 92, 0, 92, 86, 0, 93, 0, 93, 84, 0, 94, 0, 94, 89, 0, 95, 0, 95, 91, 0, 98, 0, 98, 90, 0, 98, 0, 98, 101, 0, 104, 0, 104, 84, 0, 113, 0, 113, 93, 0, 116, 0, 116,97, 95
8, 124, 0, 209, 0, 209, 125, 0, 210, 0, 210, 122, 0, 211, 0, 211, 139, 0, 212, 0, 212, 130, 0, 214, 0, 214, 124, 0, 214, 0, 214, 149, 0, 214, 0, 214, 130, 0, 216, 0, 216, 127, 0, 218, 0, 218, 131, 0, 222, 0, 222, 132, 0, 223, 0, 223, 131, 0, 224, 0, 224,215, 214
16, 235, 0, 539, 0, 539, 239, 0, 540, 0, 540, 266, 0, 541, 0, 541, 238, 0, 542, 0, 542, 237, 0, 543, 0, 543, 261, 0, 549, 0, 549, 240, 0, 549, 0, 549, 238, 0, 550, 0, 550, 235, 0, 552, 0, 552, 243, 0, 552, 0, 552, 237, 0, 555, 0, 555, 241, 0, 561, 0, 561,547, 549
32, 674, 0, 1093, 0, 1093, 677, 0, 1101, 0, 1101, 671, 0, 1103, 0, 1103, 672, 0, 1104, 0, 1104, 669, 0, 1106, 0, 1106, 676, 0, 1107, 0, 1107, 674, 0, 1107, 0, 1107, 681, 0, 1108, 0, 1108, 673, 0, 1114, 0, 1114, 672, 0, 1114, 0, 1114, 667, 0, 1116, 0, 1116, 685, 0, 1123, 0, 1123,1108, 1107
64, 2445, 0, 3751, 0, 3751, 2444, 0, 3751, 0, 3751, 2436, 0, 3784, 0, 3784, 2435, 0, 3785, 0, 3785, 2452, 0, 3789, 0, 3789, 2420, 0, 3799, 0, 3799, 2420, 0, 3805, 0, 3805, 2442, 0, 3805, 0, 3805, 2462, 0, 3806, 0, 3806, 2443, 0, 3807, 0, 3807, 2429, 0, 3826, 0, 3826, 2448, 0, 4211, 0, 4211,3795, 3805
128, 9755, 0, 12467, 0, 12467, 9781, 0, 12481, 0, 12481, 9876, 0, 12507, 0, 12507, 9763, 0, 12533, 0, 12533, 9744, 0, 12543, 0, 12543, 9808, 0, 12563, 0, 12563, 9715, 0, 12582, 0, 12582, 9766, 0, 12583, 0, 12583, 9740, 0, 12600, 0, 12600, 9879, 0, 12675, 0, 12675, 9897, 0, 12702, 0, 12702, 9793, 0, 12706, 0, 12706,12576, 12582
256, 45806, 0, 41888, 0, 41888, 48515, 0, 42910, 0, 42910, 47153, 0, 42956, 0, 42956, 45973, 0, 43005, 0, 43005, 45856, 0, 43236, 0, 43236, 48288, 0, 43502, 0, 43502, 48262, 0, 43916, 0, 43916, 45694, 0, 43931, 0, 43931, 46042, 0, 44080, 0, 44080, 47917, 0, 44082, 0, 44082, 46820, 0, 44114, 0, 44114, 47435, 0, 44179, 0, 44179,43573, 43916
512, 186622, 0, 159842, 0, 159842, 182422, 0, 160342, 0, 160342, 182955, 0, 160741, 0, 160741, 184952, 0, 161546, 0, 161546, 179438, 0, 161550, 0, 161550, 181800, 0, 161766, 0, 161766, 186961, 0, 162387, 0, 162387, 184439, 0, 162774, 0, 162774, 180228, 0, 165150, 0, 165150, 188213, 0, 177715, 0, 177715, 180951, 0, 179553, 0, 179553, 178482, 0, 180984, 0, 180984,165352, 162387
