scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,3,0,3,0,0,3,0,3,2,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,10,0,10,0,10,3,3
1,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,2,2
8,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,24,0,24,4,0,25,0,25,4,0,25,0,25,4,0,25,0,25,24,24
16,20,0,53,0,53,20,0,53,0,53,20,0,53,0,53,20,0,53,0,53,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,20,0,54,0,54,54,54
32,109,0,64,0,64,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,109,0,65,0,65,110,0,65,0,65,109,0,66,0,66,65,65
64,627,0,90,0,90,659,0,93,0,93,647,0,93,0,93,646,0,93,0,93,646,0,93,0,93,646,0,93,0,93,646,0,93,0,93,646,0,93,0,93,646,0,94,0,94,646,0,94,0,94,646,0,94,0,94,646,0,94,0,94,93,93
