scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,91,0,85,3,85,85,0,85,2,85,99,0,86,2,86,92,0,88,2,88,93,0,88,2,88,92,0,90,2,90,89,0,93,3,93,97,0,95,3,95,85,0,96,1,96,95,0,114,5,114,108,0,116,6,116,752,0,221,30,221,95,93
1,86,0,81,1,81,93,0,82,1,82,87,0,83,1,83,89,0,84,1,84,81,0,84,1,84,102,0,85,1,85,88,0,85,2,85,91,0,86,2,86,85,0,90,1,90,90,0,91,1,91,86,0,91,2,91,87,0,94,2,94,86,85
8,128,0,114,3,114,120,0,114,3,114,125,0,114,2,114,160,0,117,3,117,124,0,119,2,119,125,0,119,2,119,126,0,120,2,120,134,0,120,3,120,127,0,124,5,124,130,0,124,3,124,126,0,124,3,124,133,0,126,3,126,119,120
16,245,0,191,4,191,253,0,195,4,195,245,0,196,5,196,247,0,196,4,196,250,0,197,4,197,242,0,199,5,199,241,0,199,4,199,244,0,200,4,200,248,0,200,4,200,250,0,202,4,202,242,0,204,5,204,243,0,238,4,238,198,199
32,677,0,449,8,449,698,0,449,9,449,698,0,450,7,450,689,0,452,8,452,683,0,452,9,452,687,0,453,9,453,682,0,456,10,456,686,0,456,8,456,681,0,464,8,464,702,0,466,9,466,692,0,473,10,473,681,0,479,10,479,457,456
64,2479,0,1425,17,1425,2475,0,1426,17,1426,2470,0,1434,18,1434,2474,0,1439,17,1439,2466,0,1450,21,1450,2442,0,1450,20,1450,2450,0,1452,17,1452,2472,0,1454,19,1454,2481,0,1466,17,1466,3354,0,2132,30,2132,3165,0,2201,25,2201,3235,0,2229,25,2229,1590,1452
128,10239,0,5443,40,5443,9847,0,5554,33,5554,9856,0,5664,35,5664,11581,0,5772,32,5772,13711,0,5782,35,5782,10848,0,5838,34,5838,10639,0,5933,34,5933,10053,0,6028,36,6028,13888,0,8301,49,8301,13156,0,8651,47,8651,13869,0,8884,48,8884,13655,0,9001,55,9001,6640,5933
256,56149,0,20188,0,20188,46961,0,20343,0,20343,46671,0,20414,0,20414,47211,0,20414,0,20414,46916,0,20545,0,20545,47449,0,20575,0,20575,47098,0,20605,0,20605,47905,0,20899,0,20899,50185,0,21216,0,21216,57234,0,33606,0,33606,55965,0,34956,0,34956,58759,0,35287,0,35287,23357,20605
512,178386,0,98737,0,98737,184284,0,99627,0,99627,177397,0,100096,0,100096,180525,0,101184,0,101184,182365,0,101900,0,101900,175534,0,102239,0,102239,170679,0,102825,0,102825,171719,0,104223,0,104223,180301,0,104290,0,104290,178648,0,106027,0,106027,182237,0,110198,0,110198,235666,0,137895,0,137895,103260,102825
