scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 2, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 3, 0, 4, 0, 4, 2, 0, 4, 0, 4, 2, 0, 4, 0, 4, 3, 0, 4, 0, 4, 3, 0, 4, 0, 4, 3, 0, 4, 0, 4, 10, 0, 24, 0, 24,4, 4
1, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 2, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4, 1, 0, 4, 0, 4,4, 4
8, 22, 0, 44, 0, 44, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 22, 0, 45, 0, 45, 23, 0, 45, 0, 45, 23, 0, 45, 0, 45,45, 45
16, 14, 0, 14, 0, 14, 13, 0, 15, 0, 15, 14, 0, 15, 0, 15, 14, 0, 15, 0, 15, 13, 0, 15, 0, 15, 13, 0, 15, 0, 15, 14, 0, 15, 0, 15, 14, 0, 15, 0, 15, 13, 0, 15, 0, 15, 14, 0, 16, 0, 16, 14, 0, 16, 0, 16, 14, 0, 16, 0, 16,15, 15
32, 26, 0, 27, 0, 27, 27, 0, 27, 0, 27, 26, 0, 27, 0, 27, 27, 0, 27, 0, 27, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28, 27, 0, 28, 0, 28,28, 28
64, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14, 64, 0, 14, 0, 14,14, 14
128, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49, 20, 0, 49, 0, 49,49, 49
256, 70, 0, 50, 0, 50, 70, 0, 51, 0, 51, 70, 0, 51, 0, 51, 70, 0, 51, 0, 51, 70, 0, 51, 0, 51, 70, 0, 59, 0, 59, 70, 0, 60, 0, 60, 70, 0, 60, 0, 60, 70, 0, 60, 0, 60, 70, 0, 60, 0, 60, 70, 0, 60, 0, 60, 70, 0, 60, 0, 60,56, 60
512, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 81, 0, 81, 76, 0, 82, 0, 82, 76, 0, 83, 0, 83, 76, 0, 85, 0, 85, 76, 0, 87, 0, 87,82, 81
