scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 1, 8, 1, 0, 9, 0, 9, 1, 0, 11, 58, 60, 6, 0, 67,9, 9
1, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 1, 8, 1, 0, 9, 1, 8, 1, 0, 9, 0, 8, 1, 0, 9, 1, 8, 1, 0, 9,9, 9
8, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20, 1, 10, 9, 0, 20,20, 20
16, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 12, 21, 0, 33, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34, 1, 13, 21, 0, 34,33, 33
32, 2, 17, 39, 0, 56, 2, 17, 39, 0, 56, 2, 17, 39, 0, 56, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 39, 0, 57, 2, 17, 40, 0, 57, 2, 17, 40, 0, 57,57, 57
64, 3, 26, 25, 0, 52, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 27, 26, 0, 53, 4, 28, 26, 0, 54,53, 53
128, 6, 47, 73, 0, 120, 6, 47, 73, 0, 120, 6, 47, 73, 0, 120, 6, 47, 73, 0, 121, 6, 47, 74, 0, 122, 6, 48, 73, 0, 122, 6, 49, 73, 0, 122, 6, 49, 73, 0, 122, 6, 49, 73, 0, 122, 6, 49, 74, 0, 123, 6, 49, 74, 0, 123, 6, 49, 74, 0, 124,122, 122
256, 13, 41, 86, 0, 128, 13, 42, 87, 0, 129, 13, 43, 86, 0, 130, 13, 42, 88, 0, 130, 13, 42, 88, 0, 131, 13, 44, 88, 0, 132, 13, 43, 88, 0, 132, 13, 44, 87, 0, 132, 13, 45, 87, 0, 133, 13, 44, 88, 0, 133, 13, 45, 88, 0, 133, 13, 45, 88, 0, 133,131, 132
512, 26, 100, 67, 0, 167, 25, 103, 66, 0, 170, 26, 92, 87, 0, 180, 26, 97, 169, 0, 266, 26, 104, 162, 0, 266, 26, 102, 166, 0, 268, 25, 103, 166, 0, 269, 25, 106, 163, 0, 269, 26, 103, 166, 0, 269, 25, 101, 169, 0, 271, 25, 106, 167, 0, 274, 25, 109, 165, 0, 274,250, 269
1024, 51, 141, 130, 0, 271, 51, 227, 222, 0, 450, 51, 223, 234, 0, 458, 51, 227, 232, 0, 460, 51, 227, 236, 0, 463, 51, 228, 235, 0, 464, 51, 232, 236, 0, 469, 51, 237, 231, 0, 469, 51, 241, 231, 0, 472, 51, 226, 246, 0, 473, 51, 232, 241, 0, 473, 49, 232, 247, 0, 480,465, 469
2048, 107, 275, 473, 0, 748, 101, 491, 266, 0, 758, 101, 493, 267, 0, 760, 102, 500, 266, 0, 766, 102, 509, 269, 0, 778, 101, 498, 286, 0, 784, 101, 477, 318, 0, 796, 105, 477, 320, 0, 797, 101, 494, 672, 0, 1167, 101, 497, 673, 0, 1170, 101, 503, 672, 0, 1176, 101, 516, 679, 0, 1195,895, 796
4096, 173, 587, 935, 0, 1523, 204, 608, 1058, 0, 1667, 204, 618, 1059, 0, 1677, 204, 665, 1041, 0, 1706, 204, 667, 1040, 0, 1708, 204, 671, 1038, 0, 1710, 204, 674, 1039, 0, 1713, 204, 681, 1040, 0, 1721, 204, 669, 1060, 0, 1729, 204, 673, 1058, 0, 1731, 204, 679, 1060, 0, 1740, 204, 716, 1038, 0, 1754,1710, 1713
8192, 346, 1282, 1137, 0, 2419, 409, 1362, 1205, 0, 2567, 409, 1315, 1256, 0, 2572, 409, 1335, 1260, 0, 2595, 409, 1356, 1264, 0, 2620, 409, 1441, 1205, 0, 2647, 409, 1445, 1203, 0, 2649, 409, 1414, 1263, 0, 2677, 409, 1435, 1268, 0, 2704, 409, 1445, 1263, 0, 2708, 409, 1684, 1175, 0, 2859, 409, 1669, 1264, 0, 2934,2660, 2649
16384, 690, 3214, 2440, 0, 5655, 851, 3425, 2697, 0, 6122, 851, 3497, 2632, 0, 6129, 851, 3492, 2696, 0, 6188, 851, 3513, 2699, 0, 6212, 851, 3444, 2798, 0, 6243, 851, 3492, 2791, 0, 6283, 851, 3493, 2808, 0, 6301, 851, 3676, 2627, 0, 6303, 851, 3771, 2625, 0, 6397, 851, 3750, 2793, 0, 6544, 851, 3784, 2809, 0, 6594,6272, 6283
