scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,2,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,0,0,2,2,2,56,0,14,4,14,1,2
1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,1,2,1,1
8,1,0,7,2,7,1,0,7,2,7,1,0,7,2,7,1,0,7,2,7,1,0,7,2,7,1,0,7,2,7,2,0,7,2,7,1,0,7,2,7,1,0,7,2,7,1,0,9,4,9,1,0,9,2,9,1,0,9,2,9,8,7
16,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,7,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,1,0,18,4,18,18,18
32,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,7,31,2,0,31,11,31,31,31
64,3,0,6,22,6,4,0,7,16,7,4,0,7,16,7,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,4,0,8,16,8,8,8
128,6,0,21,29,21,6,0,21,29,21,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,30,22,6,0,22,46,22,22,22
256,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,60,40,13,0,40,61,40,13,0,40,60,40,12,0,40,56,40,40,40
512,25,0,63,108,63,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,25,0,64,35,64,64,64
1024,50,0,159,212,159,50,0,271,72,271,50,0,271,72,271,50,0,271,72,271,50,0,272,72,272,50,0,272,72,272,50,0,272,72,272,50,0,273,72,273,50,0,273,72,273,50,0,274,73,274,52,0,274,72,274,50,0,274,73,274,272,272
2048,100,0,319,450,319,95,0,333,146,333,100,0,334,152,334,100,0,334,151,334,100,0,334,152,334,100,0,334,152,334,100,0,334,152,334,100,0,334,152,334,100,0,335,144,335,100,0,335,153,335,100,0,335,152,335,104,0,338,152,338,334,334
4096,201,0,572,628,572,199,0,572,628,572,199,0,572,618,572,202,0,572,625,572,199,0,572,628,572,201,0,572,628,572,200,0,572,618,572,201,0,572,619,572,201,0,572,628,572,199,0,572,628,572,200,0,572,619,572,200,0,626,940,626,572,572
8192,403,0,1256,791,1256,402,0,1256,792,1256,404,0,1257,791,1257,402,0,1257,791,1257,403,0,1257,1082,1257,402,0,1258,791,1258,402,0,1259,792,1259,402,0,1260,792,1260,402,0,1260,792,1260,402,0,1260,792,1260,403,0,1260,791,1260,400,0,1261,787,1261,1258,1259
16384,845,0,1971,1244,1971,845,0,1971,1247,1971,845,0,1971,1246,1971,845,0,1971,1244,1971,844,0,1971,1236,1971,845,0,1971,1246,1971,845,0,1971,1245,1971,845,0,1971,1243,1971,845,0,1971,1245,1971,842,0,1971,1234,1971,837,0,1975,1940,1975,845,0,1979,1236,1979,1972,1971
32768,1409,0,3864,0,3864,1409,0,3864,0,3864,1409,0,3864,0,3864,1409,0,3864,0,3864,1409,0,3864,0,3864,1425,0,3864,0,3864,1409,0,3864,0,3864,1409,0,3864,0,3864,1409,0,3864,0,3864,1384,0,3864,0,3864,1409,0,3864,0,3864,1367,0,4161,0,4161,3864,3864
