scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 2, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 11, 1, 2, 12, 1, 9, 2, 2, 12, 58, 59, 6, 4, 66,11, 10
1, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10, 1, 9, 1, 2, 10,10, 10
8, 4, 38, 21, 12, 59, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 3, 38, 21, 11, 60, 3, 39, 21, 11, 60, 3, 39, 21, 11, 60, 4, 39, 21, 11, 60, 3, 39, 21, 11, 61,60, 60
16, 20, 82, 45, 24, 128, 20, 82, 45, 24, 128, 20, 83, 45, 24, 128, 20, 82, 46, 24, 129, 20, 82, 46, 24, 129, 20, 83, 46, 24, 129, 20, 83, 46, 24, 129, 20, 83, 45, 24, 129, 20, 84, 45, 24, 130, 20, 84, 45, 24, 130, 21, 83, 46, 24, 130, 21, 83, 49, 23, 132,129, 129
32, 109, 193, 101, 52, 295, 131, 214, 103, 51, 317, 53, 221, 101, 51, 322, 132, 275, 100, 51, 375, 132, 281, 100, 51, 382, 132, 281, 100, 51, 382, 132, 282, 100, 51, 382, 132, 282, 100, 51, 383, 132, 282, 103, 51, 385, 132, 282, 103, 51, 386, 132, 287, 100, 51, 387, 132, 285, 103, 51, 389,370, 382
64, 627, 1084, 242, 126, 1327, 802, 1121, 242, 126, 1364, 802, 1171, 242, 126, 1414, 802, 1193, 242, 126, 1436, 802, 1216, 242, 126, 1458, 802, 1218, 242, 126, 1461, 802, 1218, 243, 126, 1461, 802, 1219, 242, 126, 1461, 802, 1219, 242, 126, 1462, 802, 1220, 242, 126, 1462, 802, 1222, 242, 126, 1465, 802, 1223, 242, 126, 1466,1444, 1461
