scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,161,0,7,5,7,149,0,7,5,7,180,0,8,6,8,161,0,8,5,8,151,0,9,7,9,150,0,9,6,9,151,0,10,6,10,185,0,12,18,12,151,0,12,12,12,148,0,12,7,12,157,0,14,22,14,595,406,263,52,669,10,10
1,158,0,7,4,7,146,0,7,4,7,145,0,7,5,7,177,0,7,4,7,167,0,8,5,8,163,0,8,4,8,154,1,7,5,8,162,0,8,4,8,151,0,9,5,9,150,1,8,6,9,180,0,9,3,9,155,0,11,3,11,8,8
8,165,0,250,15,250,169,0,254,16,254,149,0,254,17,254,146,1,254,16,255,159,0,255,17,255,173,0,257,16,257,146,0,258,16,258,176,0,259,16,259,146,0,259,16,259,143,0,262,16,262,160,0,268,23,268,154,0,282,16,282,258,258
16,161,0,960,30,960,148,0,967,31,967,144,0,972,33,972,146,0,972,33,972,148,0,973,31,973,153,0,978,30,978,145,0,979,30,979,168,0,980,31,980,157,0,985,32,985,157,0,992,29,992,153,0,1011,31,1011,141,0,1022,31,1022,980,979
32,155,0,3550,60,3550,149,0,3554,53,3554,153,1,3566,58,3567,150,0,3571,61,3571,154,0,3574,51,3574,163,0,3576,51,3576,148,0,3579,60,3579,156,0,3580,59,3580,148,0,3584,57,3584,153,0,3589,55,3589,153,0,3592,52,3592,155,0,3632,51,3632,3576,3579
64,168,0,14044,106,14044,170,0,14057,122,14057,155,0,14068,114,14068,171,0,14076,109,14076,179,0,14197,103,14197,178,0,23796,138,23796,213,0,26865,138,26865,204,0,26905,140,26905,238,1,27168,149,27169,218,0,27221,130,27221,211,0,27280,153,27280,227,0,27578,163,27578,21563,26865
128,178,0,54369,241,54369,171,0,54490,249,54490,167,0,54504,240,54504,172,0,54516,239,54516,184,0,54529,237,54529,174,0,54530,263,54530,204,0,54594,253,54594,194,0,54775,248,54775,181,0,54855,237,54855,175,0,54866,228,54866,174,0,54950,266,54950,236,0,96746,258,96746,54660,54594
256,210,0,223021,0,223021,325,0,223369,0,223369,221,0,223661,0,223661,243,0,223707,0,223707,198,0,223819,0,223819,227,0,223858,0,223858,246,0,223874,0,223874,214,0,224548,0,224548,216,0,224564,0,224564,206,0,224596,0,224596,207,0,224729,0,224729,216,0,224906,0,224906,224072,223874
