scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of inner 10 results (ms)
1,145,0,16,6,16,145,0,17,5,17,176,0,17,4,17,154,0,18,8,18,156,0,18,5,18,145,0,18,6,18,160,0,19,7,19,164,0,19,5,19,152,0,20,12,20,156,0,22,16,22,152,0,24,22,24,587,432,261,50,693,19,19
1,154,0,16,3,16,152,0,16,5,16,148,0,16,6,16,147,0,16,4,16,151,0,16,4,16,160,0,16,4,16,156,0,16,3,16,146,0,16,4,16,143,0,16,4,16,145,0,16,3,16,141,0,16,4,16,146,0,20,3,20,16,16
8,164,0,91,16,91,147,0,91,13,91,148,0,91,16,91,149,0,92,16,92,149,0,93,16,93,145,0,94,15,94,151,0,94,15,94,152,0,94,15,94,169,0,95,16,95,187,0,96,15,96,146,0,100,18,100,152,0,104,18,104,94,94
16,167,0,206,29,206,148,0,207,29,207,157,0,210,27,210,145,0,211,28,211,161,0,212,25,212,158,0,212,25,212,151,0,213,29,213,146,0,215,29,215,147,0,215,29,215,146,0,216,27,216,157,0,217,28,217,201,0,219,27,219,212,213
32,155,0,496,46,496,150,0,502,51,502,181,0,507,43,507,149,0,507,50,507,176,0,508,47,508,180,0,509,51,509,170,0,509,46,509,154,0,510,51,510,161,0,513,47,513,147,0,514,45,514,171,0,517,46,517,152,0,517,49,517,509,509
64,168,0,1537,90,1537,156,0,1545,100,1545,160,0,1548,92,1548,160,0,1558,94,1558,160,0,1559,95,1559,168,0,1561,91,1561,159,0,1562,89,1562,159,0,1564,91,1564,163,0,1575,85,1575,161,0,1576,113,1576,178,0,1581,100,1581,157,0,1582,89,1582,1562,1562
128,170,0,4869,184,4869,191,0,4914,194,4914,161,0,4923,179,4923,178,0,4943,192,4943,165,0,4944,177,4944,170,1,4960,190,4961,162,0,4977,170,4977,168,0,4983,178,4983,167,0,4998,181,4998,189,0,5021,167,5021,173,0,5022,185,5022,175,0,5064,191,5064,4968,4977
256,208,0,17827,0,17827,206,0,17942,0,17942,309,0,18076,0,18076,201,0,18288,0,18288,212,0,18288,0,18288,195,0,18329,0,18329,213,0,18370,0,18370,222,0,18438,0,18438,243,0,18481,0,18481,197,0,18510,0,18510,219,0,18511,0,18511,199,0,19190,0,19190,18323,18370
