scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 13, 10, 0, 24, 1, 13, 10, 0, 24, 1, 13, 10, 0, 24, 1, 13, 10, 0, 24, 60, 66, 18, 0, 84,22, 21
1, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 11, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21, 1, 12, 9, 0, 21,21, 21
8, 8, 50, 39, 0, 89, 8, 50, 40, 0, 90, 8, 50, 40, 0, 90, 8, 50, 40, 0, 91, 8, 51, 40, 0, 91, 9, 50, 41, 0, 91, 7, 53, 39, 0, 93, 8, 52, 40, 0, 93, 8, 53, 39, 0, 93, 8, 53, 40, 0, 93, 8, 53, 40, 0, 93, 8, 53, 40, 0, 93,92, 93
16, 13, 40, 53, 0, 93, 13, 40, 54, 0, 94, 13, 41, 52, 0, 94, 13, 42, 52, 0, 95, 13, 43, 52, 0, 95, 13, 42, 53, 0, 96, 13, 44, 51, 0, 96, 13, 42, 53, 0, 96, 13, 43, 54, 0, 97, 14, 43, 54, 0, 97, 13, 44, 53, 0, 98, 13, 44, 54, 0, 99,96, 96
32, 31, 81, 107, 0, 188, 30, 122, 69, 0, 191, 30, 125, 66, 0, 192, 30, 123, 69, 0, 192, 30, 122, 70, 0, 192, 30, 124, 70, 0, 194, 30, 125, 69, 0, 194, 30, 124, 70, 0, 194, 30, 128, 67, 0, 196, 30, 129, 68, 0, 197, 30, 119, 171, 0, 290, 30, 125, 171, 0, 296,203, 194
64, 55, 187, 164, 0, 352, 52, 256, 115, 0, 371, 52, 244, 295, 0, 540, 52, 250, 295, 0, 545, 52, 255, 295, 0, 550, 52, 256, 295, 0, 552, 52, 256, 297, 0, 553, 52, 254, 300, 0, 555, 52, 259, 296, 0, 555, 52, 255, 300, 0, 556, 52, 262, 295, 0, 557, 58, 263, 296, 0, 559,533, 553
128, 127, 457, 527, 0, 984, 116, 428, 630, 0, 1059, 115, 426, 636, 0, 1063, 116, 422, 641, 0, 1063, 123, 428, 637, 0, 1065, 116, 431, 641, 0, 1073, 116, 443, 631, 0, 1074, 115, 438, 641, 0, 1080, 115, 452, 631, 0, 1083, 115, 447, 645, 0, 1093, 116, 453, 643, 0, 1096, 116, 453, 645, 0, 1098,1075, 1074
256, 201, 859, 907, 0, 1767, 222, 1215, 897, 0, 2112, 222, 1234, 916, 0, 2150, 222, 1268, 885, 0, 2154, 222, 1261, 893, 0, 2155, 222, 1268, 887, 0, 2156, 222, 1266, 893, 0, 2159, 222, 1268, 894, 0, 2163, 222, 1267, 896, 0, 2163, 222, 1261, 911, 0, 2173, 222, 1268, 911, 0, 2179, 222, 1268, 918, 0, 2187,2156, 2159
