scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 8, 1, 1, 9, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 2, 2, 10, 0, 8, 2, 1, 10, 0, 10, 2, 2, 12, 20, 67, 6, 3, 73,10, 10
1, 0, 8, 1, 1, 9, 0, 8, 1, 1, 9, 0, 8, 1, 1, 9, 0, 8, 1, 1, 9, 0, 8, 1, 1, 9, 0, 8, 1, 1, 9, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10, 0, 8, 1, 1, 10,9, 10
8, 0, 9, 9, 5, 18, 0, 9, 9, 5, 18, 0, 9, 9, 5, 18, 0, 9, 9, 5, 18, 0, 9, 9, 5, 18, 0, 10, 9, 5, 19, 0, 10, 9, 5, 19, 0, 10, 9, 5, 19, 0, 10, 9, 5, 20, 0, 10, 9, 5, 20, 0, 10, 9, 5, 20, 0, 11, 9, 5, 20,19, 19
16, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 33, 0, 12, 21, 9, 34,33, 33
32, 1, 17, 41, 17, 58, 1, 17, 41, 17, 58, 1, 17, 40, 16, 58, 1, 17, 41, 17, 58, 1, 17, 41, 17, 58, 1, 17, 41, 17, 58, 1, 17, 41, 17, 58, 1, 17, 41, 17, 58, 1, 17, 41, 15, 58, 1, 17, 41, 15, 58, 1, 17, 41, 16, 58, 1, 17, 41, 16, 59,58, 58
64, 2, 26, 27, 33, 54, 2, 26, 28, 32, 55, 2, 27, 28, 32, 55, 2, 27, 28, 32, 55, 2, 27, 28, 32, 56, 2, 27, 28, 32, 56, 2, 28, 28, 32, 57, 2, 27, 30, 33, 57, 2, 27, 29, 32, 57, 2, 27, 30, 32, 57, 2, 27, 29, 33, 57, 2, 27, 30, 32, 58,56, 57
128, 5, 47, 80, 25, 127, 5, 47, 80, 22, 128, 5, 48, 80, 22, 129, 5, 49, 80, 22, 129, 5, 49, 80, 22, 129, 5, 50, 80, 22, 130, 5, 50, 80, 22, 130, 5, 50, 80, 22, 130, 5, 50, 80, 23, 130, 5, 50, 80, 22, 130, 5, 50, 80, 23, 131, 5, 50, 81, 23, 131,129, 130
256, 12, 39, 97, 75, 137, 12, 42, 96, 41, 139, 12, 43, 96, 74, 140, 12, 42, 98, 75, 140, 12, 43, 97, 75, 141, 12, 45, 96, 41, 141, 12, 44, 97, 75, 141, 12, 43, 98, 75, 142, 12, 45, 97, 74, 142, 12, 45, 97, 74, 142, 12, 44, 98, 75, 142, 12, 45, 98, 41, 144,141, 141
512, 25, 103, 72, 115, 176, 25, 104, 72, 115, 176, 25, 105, 72, 115, 177, 24, 102, 76, 114, 178, 25, 99, 78, 115, 178, 25, 106, 73, 116, 180, 25, 101, 79, 115, 180, 25, 105, 77, 114, 182, 25, 105, 79, 115, 185, 25, 106, 78, 114, 185, 25, 105, 79, 116, 185, 25, 85, 103, 135, 189,181, 180
1024, 51, 150, 161, 275, 312, 50, 224, 264, 238, 488, 50, 229, 262, 238, 491, 50, 228, 262, 238, 491, 50, 227, 264, 238, 492, 50, 233, 263, 238, 496, 50, 234, 264, 238, 498, 50, 227, 271, 238, 498, 50, 233, 271, 238, 505, 48, 239, 267, 241, 507, 50, 234, 274, 238, 508, 50, 236, 274, 238, 510,497, 498
2048, 106, 298, 285, 399, 583, 94, 508, 274, 490, 783, 102, 474, 340, 505, 815, 100, 515, 312, 500, 828, 101, 515, 315, 500, 830, 100, 516, 321, 495, 837, 99, 483, 361, 499, 844, 101, 486, 361, 498, 847, 100, 510, 339, 499, 850, 100, 515, 337, 499, 852, 99, 520, 341, 505, 861, 103, 517, 677, 487, 1195,835, 844
4096, 174, 653, 635, 733, 1289, 202, 657, 682, 693, 1339, 203, 666, 681, 692, 1347, 203, 670, 677, 694, 1347, 203, 672, 676, 694, 1348, 204, 677, 678, 693, 1356, 203, 681, 680, 694, 1362, 203, 652, 710, 693, 1362, 200, 685, 682, 693, 1367, 203, 711, 677, 693, 1389, 203, 696, 710, 695, 1407, 202, 719, 710, 694, 1430,1362, 1362
