scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,0,1,2,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,2,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,56,0,13,4,13,1,2
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
8,1,0,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,5,2,5,2,0,5,2,5,2,0,5,2,5,1,0,5,2,5,1,0,5,4,5,1,0,5,2,5,5,5
16,1,0,11,8,11,2,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,1,0,11,6,11,11,11
32,2,0,23,14,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,23,11,23,2,0,24,11,24,23,23
64,3,0,50,30,50,3,0,50,22,50,3,0,50,22,50,3,0,50,23,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,3,0,50,22,50,50,50
128,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,47,50,6,0,50,64,50,50,50
256,13,0,76,30,76,13,0,76,30,76,13,0,76,30,76,13,0,76,30,76,13,0,76,29,76,13,0,76,30,76,13,0,76,30,76,13,0,76,30,76,13,0,76,30,76,13,0,77,70,77,12,0,77,31,77,13,0,77,30,77,76,76
512,25,0,81,98,81,24,0,101,94,101,25,0,102,94,102,25,0,103,94,103,25,0,103,94,103,25,0,104,93,104,25,0,104,95,104,25,0,104,94,104,25,0,104,94,104,25,0,104,94,104,25,0,104,94,104,25,0,104,94,104,103,104
1024,51,0,160,207,160,49,0,269,208,269,49,0,271,216,271,49,0,271,206,271,49,0,271,206,271,49,0,271,206,271,49,0,272,206,272,51,0,272,206,272,49,0,272,206,272,49,0,273,206,273,49,0,273,206,273,49,0,275,211,275,271,272
2048,106,0,234,459,234,100,0,240,455,240,102,0,241,448,241,102,0,241,448,241,101,0,241,456,241,101,0,241,448,241,101,0,241,456,241,101,0,241,456,241,101,0,242,448,242,101,0,242,448,242,102,0,242,448,242,102,0,255,443,255,241,241
4096,203,0,563,933,563,207,0,805,577,805,206,0,806,576,806,207,0,806,579,806,202,0,806,568,806,207,0,806,578,806,207,0,806,577,806,207,0,807,580,807,207,0,807,584,807,207,0,807,580,807,207,0,807,578,807,207,0,808,586,808,806,806
8192,415,0,1069,715,1069,413,0,1070,952,1070,417,0,1071,715,1071,414,0,1072,704,1072,414,0,1072,712,1072,414,0,1072,713,1072,415,0,1073,705,1073,414,0,1074,706,1074,414,0,1076,705,1076,414,0,1076,702,1076,414,0,1077,704,1077,407,0,1082,700,1082,1073,1073
16384,851,0,2139,1395,2139,850,0,2140,1392,2140,849,0,2140,1387,2140,852,0,2140,1628,2140,849,0,2143,1385,2143,850,0,2148,1391,2148,859,0,2148,1385,2148,850,0,2148,1391,2148,849,0,2152,1385,2152,849,0,2152,1385,2152,850,0,2152,1392,2152,850,0,2164,1392,2164,2146,2148
32768,1454,0,3899,0,3899,1437,0,3906,0,3906,1437,0,3906,0,3906,1437,0,3908,0,3908,1437,0,3908,0,3908,1453,0,3908,0,3908,1437,0,3909,0,3909,1437,0,3909,0,3909,1437,0,3909,0,3909,1437,0,3909,0,3909,1437,0,3909,0,3909,1414,0,4128,0,4128,3908,3909
