scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 2, 0, 10, 0, 10, 2, 0, 10, 0, 10, 2, 0, 10, 0, 10, 2, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 2, 0, 10, 0, 10, 1, 0, 12, 0, 12, 2, 0, 14, 0, 14, 1, 0, 15, 0, 15, 13, 0, 22, 0, 22,11, 10
1, 2, 0, 10, 0, 10, 1, 0, 10, 0, 10, 2, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 2, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10, 1, 0, 10, 0, 10,10, 10
8, 8, 0, 49, 0, 49, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 50, 0, 50, 8, 0, 51, 0, 51,50, 50
16, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 71, 0, 71, 13, 0, 72, 0, 72, 13, 0, 72, 0, 72, 13, 0, 72, 0, 72,71, 71
32, 31, 0, 71, 0, 71, 31, 0, 71, 0, 71, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 72, 0, 72, 31, 0, 73, 0, 73, 31, 0, 87, 0, 87,72, 72
64, 55, 0, 66, 0, 66, 54, 0, 146, 0, 146, 54, 0, 146, 0, 146, 58, 0, 146, 0, 146, 54, 0, 146, 0, 146, 54, 0, 146, 0, 146, 54, 0, 146, 0, 146, 54, 0, 147, 0, 147, 54, 0, 147, 0, 147, 54, 0, 147, 0, 147, 54, 0, 148, 0, 148, 54, 0, 148, 0, 148,147, 146
128, 109, 0, 149, 0, 149, 123, 0, 231, 0, 231, 123, 0, 232, 0, 232, 123, 0, 232, 0, 232, 123, 0, 232, 0, 232, 120, 0, 233, 0, 233, 123, 0, 233, 0, 233, 122, 0, 469, 0, 469, 120, 0, 469, 0, 469, 120, 0, 469, 0, 469, 120, 0, 469, 0, 469, 120, 0, 470, 0, 470,327, 233
256, 222, 0, 372, 0, 372, 218, 0, 479, 0, 479, 218, 0, 479, 0, 479, 218, 0, 479, 0, 479, 218, 0, 479, 0, 479, 217, 0, 479, 0, 479, 218, 0, 479, 0, 479, 218, 0, 479, 0, 479, 218, 0, 480, 0, 480, 218, 0, 480, 0, 480, 218, 0, 480, 0, 480, 222, 0, 480, 0, 480,479, 479
